Time Period,SB Left,SB Thru,SB Right,SB U-Turn,SB RTOR,WB Left,WB Thru,WB Right,WB U-Turn,WB RTOR,NB Left,NB Thru,NB Right,NB U-Turn,NB RTOR,EB Left,EB Thru,EB Right,EB U-Turn,EB RTOR,,,,,,,,,,,,,,,,,,,,,Total,Hourly Totals
1:20 PM,16,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,0,0,,,,,,,,,,,,,,,,,,,,,85,1108
1:25 PM,12,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,,,,,,,,,,,,,,,,,,,,,73,1102
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEAVY-VEHICLE VOLUMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Period,SB Left,SB Thru,SB Right,WB Left,WB Thru,WB Right,NB Left,NB Thru,NB Right,EB Left,EB Thru,EB Right,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,,,
11:30 AM,0,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
11:35 AM,0,0,0,0,0,0,0,0,0,0,3,0,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
11:40 AM,0,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
11:45 AM,0,1,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
11:50 AM,1,1,0,0,0,0,0,0,0,0,3,1,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
11:55 AM,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
12:00 PM,1,2,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
12:05 PM,0,1,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
12:10 PM,1,1,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
12:15 PM,1,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
12:20 PM,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
12:25 PM,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
12:30 PM,0,4,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
12:35 PM,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
12:40 PM,0,1,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
12:45 PM,0,5,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
12:50 PM,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
12:55 PM,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
1:00 PM,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
1:05 PM,0,1,0,0,0,0,0,0,0,0,2,1,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
1:10 PM,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
1:15 PM,0,2,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
1:20 PM,0,2,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
1:25 PM,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEDESTRIAN VOLUMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Period,North,East,South,West,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:30 AM,18,44,19,41,,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:35 AM,27,42,25,37,,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:40 AM,24,34,22,39,,,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:45 AM,25,28,22,24,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:50 AM,24,47,24,24,,,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:55 AM,36,47,33,23,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:00 PM,43,35,25,29,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:05 PM,28,42,23,20,,,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:10 PM,33,37,36,22,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:15 PM,33,38,19,22,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:20 PM,26,31,21,20,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:25 PM,39,52,27,20,,,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:30 PM,28,49,24,22,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:35 PM,21,48,29,23,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:40 PM,35,65,26,23,,,,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:45 PM,29,44,23,30,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:50 PM,16,48,23,12,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:55 PM,24,63,38,27,,,,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:00 PM,32,38,40,14,,,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:05 PM,16,36,30,14,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:10 PM,27,52,29,31,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:15 PM,20,48,24,19,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:20 PM,25,29,24,18,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:25 PM,32,52,35,20,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BICYCLE VOLUMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Period,SB Left,SB Thru,SB Right,WB Left,WB Thru,WB Right,NB Left,NB Thru,NB Right,EB Left,EB Thru,EB Right,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,,,
11:30 AM,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
11:35 AM,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
11:40 AM,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
11:45 AM,0,1,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
11:50 AM,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
11:55 AM,0,1,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
12:00 PM,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
12:05 PM,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
12:10 PM,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
12:15 PM,0,0,0,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
12:20 PM,1,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
12:25 PM,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
12:30 PM,0,2,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
12:35 PM,0,1,0,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
12:40 PM,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
12:45 PM,0,1,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
12:50 PM,0,1,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
12:55 PM,0,0,0,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
1:00 PM,1,0,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
1:05 PM,0,2,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
1:10 PM,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
1:15 PM,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
1:20 PM,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
1:25 PM,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
