id,name,id,date,time,SB-Right,SB-Thru,SB-Left,WB-Right,WB-Thru,WB-Left,NB-Right,NB-Thru,NB-Left,EB-Right,EB-Thru,EB-Left,SB-Ped,WB-Ped,NB-Ped,EB-Ped,N-Bike,E-Bike,S-Bike,W-Bike
http://www2.oaklandnet.com/n/OAK049024,Telegraph Ave and 45th St,9,2014-09,17:00-18:00,46,635,16,69,74,59,22,798,7,26,61,39,32,9,76,18,2,60,7,45
http://www2.oaklandnet.com/n/OAK049024,Telegraph Ave and 42nd St,10,2014-09,08:00-09:00,57,694,25,33,34,6,20,514,18,10,28,21,51,12,93,19,5,28,3,62
http://www2.oaklandnet.com/n/OAK049024,Telegraph Ave and 42nd St,10,2014-09,17:00-18:00,23,644,21,18,16,15,12,784,33,34,21,25,53,12,98,13,2,56,13,76
http://www2.oaklandnet.com/n/OAK049024,Telegraph Ave and 40th St,11,2014-09,08:00-09:00,119,524,67,52,374,50,56,414,97,134,295,86,71,66,204,107,46,28,9,30
http://www2.oaklandnet.com/n/OAK049024,Telegraph Ave and 40th St,11,2014-09,17:00-18:00,143,488,102,76,341,25,91,689,131,171,541,89,93,68,237,191,16,42,44,39
http://www2.oaklandnet.com/n/OAK049024,Telegraph Ave and W MacArthur Blvd,12,2014-09,08:00-09:00,165,518,77,125,327,66,44,324,99,95,208,117,31,55,14,35,1,16,8,25
http://www2.oaklandnet.com/n/OAK049024,Telegraph Ave and W MacArthur Blvd,12,2014-09,17:00-18:00,58,451,109,125,327,73,113,576,172,118,465,240,25,27,31,38,6,25,7,47
http://www2.oaklandnet.com/n/OAK049024,Telegraph Ave and 34th St,13,2014-09,08:00-09:00,26,583,70,30,15,36,51,409,22,35,53,28,50,22,29,35,,,,
http://www2.oaklandnet.com/n/OAK049024,Telegraph Ave and 34th St,13,2014-09,17:00-18:00,41,561,40,77,35,65,34,736,37,43,53,48,68,27,34,30,,,,
http://www2.oaklandnet.com/n/OAK049024,Telegraph Ave and Hawthorne St,14,2014-09,08:00-09:00,0,592,62,44,1,31,77,438,0,0,0,0,39,0,33,0,,,,
