2008.12.16-41stSt&GilbertSt.pdf,41st St and Gilbert St,Oakland,2008-12-16,13:00-14:00,,,,,,,,,,,,,14,4,2,,4,0,0,,37.827916,-122.254600
https://www.bart.gov/sites/default/files/docs/MacArthur_BART_Access_Feasibility_Study.pdf,MLK and 40th St,2008,9,08:00-09:00,,,,,,,,,,,,,13,22,71,22,,,,,37.829789,-122.268442
https://www.bart.gov/sites/default/files/docs/MacArthur_BART_Access_Feasibility_Study.pdf,40th St and BART frontage,2008,9,08:00-09:00,,,,,,,,,,,,,0,120,146,0,,,,,37.829374,-122.265824
https://www.bart.gov/sites/default/files/docs/MacArthur_BART_Access_Feasibility_Study.pdf,40th St and Telegraph Ave,2008,9,08:00-09:00,,,,,,,,,,,,,72,58,137,92,,,,,37.829162,-122.264483
https://www.bart.gov/sites/default/files/docs/MacArthur_BART_Access_Feasibility_Study.pdf,38th St and Telegraph Ave,2008,9,08:00-09:00,,,,,,,,,,,,,7,27,6,0,,,,,37.827526,-122.264912
https://www.bart.gov/sites/default/files/docs/MacArthur_BART_Access_Feasibility_Study.pdf,MLK and MacArthur Blvd,2008,9,08:00-09:00,,,,,,,,,,,,,17,16,19,12,,,,,37.827187,-122.269107
https://www.bart.gov/sites/default/files/docs/MacArthur_BART_Access_Feasibility_Study.pdf,MacArthur Blvd and BART frontage,2008,9,08:00-09:00,,,,,,,,,,,,,98,0,0,0,,,,,37.826806,-122.266779
https://www.bart.gov/sites/default/files/docs/MacArthur_BART_Access_Feasibility_Study.pdf,MacArthur Blvd and Telegraph Ave,2008,9,08:00-09:00,,,,,,,,,,,,,40,31,9,25,,,,,37.826391,-122.265202

https://www.bart.gov/sites/default/files/docs/MacArthur_BART_Access_Feasibility_Study.pdf,MLK and 40th St,2008,9,17:00-18:00,,,,,,,,,,,,,8,25,39,0,,,,,37.829789,-122.268442
https://www.bart.gov/sites/default/files/docs/MacArthur_BART_Access_Feasibility_Study.pdf,40th St and BART frontage,2008,9,17:00-18:00,,,,,,,,,,,,,0,135,213,0,,,,,37.829374,-122.265824
https://www.bart.gov/sites/default/files/docs/MacArthur_BART_Access_Feasibility_Study.pdf,40th St and Telegraph Ave,2008,9,17:00-18:00,,,,,,,,,,,,,94,40,86,111,,,,,37.829162,-122.264483
https://www.bart.gov/sites/default/files/docs/MacArthur_BART_Access_Feasibility_Study.pdf,38th St and Telegraph Ave,2008,9,17:00-18:00,,,,,,,,,,,,,1,44,8,0,,,,,37.827526,-122.264912
https://www.bart.gov/sites/default/files/docs/MacArthur_BART_Access_Feasibility_Study.pdf,MLK and MacArthur Blvd,2008,9,17:00-18:00,,,,,,,,,,,,,9,10,17,12,,,,,37.827187,-122.269107
https://www.bart.gov/sites/default/files/docs/MacArthur_BART_Access_Feasibility_Study.pdf,MacArthur Blvd and BART frontage,2008,9,17:00-18:00,,,,,,,,,,,,,79,0,0,0,,,,,37.826806,-122.266779
https://www.bart.gov/sites/default/files/docs/MacArthur_BART_Access_Feasibility_Study.pdf,MacArthur Blvd and Telegraph Ave,2008,9,17:00-18:00,,,,,,,,,,,,,26,92,19,39,,,,,37.826391,-122.265202
