,"Northbound: Shattuck Avenue",,,,,,,"Southbound: Shattuck Avenue",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
2:30-3:00,,,1,1,,,,,,1,,,
3:00-3:30,,1,3,,,,,,,4,1,,
"2:30-3:30pm Total:",,1,4,1,,,,,,5,1,,
3:30-4:00,,,6,3,,,,1,,1,4,,
4:00-4:30,,,6,2,,,,,,8,3,1,
"3:30-4:30pm Total:",,,12,5,,,,1,,9,7,1,
"2:30-4:30pm Total:",,1,16,6,,,,1,,14,8,1,
"Total # of Bikes NB: ",,23,,,,,,"Total # of Bikes SB: ",,,24,,
,,,,,,,,,,,,,
,"Eastbound: 61st Street",,,,,,,"Westbound: 61st Street",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
2:30-3:00,,,,,,,,,,,,,
3:00-3:30,,,,,,,,,,,,,
"2:30-3:30pm Total:",,,,,,,,,,,,,
3:30-4:00,,,,,,,,,1,,,,
4:00-4:30,,,,,,,,1,,,,,
"3:30-4:30pm Total:",,,,,,,,1,1,,,,
"2:30-4:30pm Total:",,,,,,,,1,1,,,,
"Total # of Bikes EB: ",,,,,,,,"Total # of Bikes WB: ",,,2,,
,,,,,,,,,,,,,
,,,"Total # of Bikes Counted (2:30-4:30pm): ",,,,,,49,,,,
,,,,,,,,,,,,,
"Field Observations:",,,,,,,,,,,,,
