"VEHICLE TURNING MOVEMENT COUNT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AM,NOON,PM,Erase,Quit,,"{MENUBRANCH REGMENU}",,,,,,,,,,,,,
"#009   Bancroft Avenue  &  42nd Avenue  -  MD PEAK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Print AM count","Print NOON count","Print PM count","Erase Worksheet contents","Exit Menu",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{GOTO}TIMEPD~AM~,{GOTO}TIMEPD~NOON~,{GOTO}TIMEPD~PM~,/rensst1~,{ESC},,,,,,,,,,,,,,,
"LOCATION #:",,009,,,,,,"QTD PRJ #:",,080170,,,,,,,,,"AM PEAK:",,,#REF!,,,,,,,,,,,{CALC},{CALC},{CALC},/rensst2~,{ESC},,,,,,,,,,,,,,,
"NORTH / SOUTH:",,"Bancroft Avenue",,,,,,DATE:,,2008/04/09,,,,,,,,,"MD PEAK:",,,"1230 PM",,,,,,,,,,,/PPRA1..O14~Ag,/PPRA1..O14~Ag,/PPRA1..O14~Ag,/reewst1~,{ESC},,,,,,,,,,,,,,,
"EAST / WEST:",,"42nd Avenue",,,,,,VICINITY:,,"OAKLAND, CA",,,,,,,,,"PM PEAK:",,,#REF!,,,,,,,,,,,RA15..O34~g,RA31..O50~G,RA47..O66~g,/reewst2~,{ESC},,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,"{branch Regmac}","{branch Regmac}","{branch Regmac}",/recity1~,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/recity2~,,,,,,,,,,,,,,,,
,,"  NORTHBOUND",,,"  SOUTHBOUND",,,"  EASTBOUND",,,"  WESTBOUND",,,,,,,,,,,,,,,,,,,,,,,,,/reproj~,,,,,,,,,,,,,,,,
," ",," ",,," ",,," ",,," ",,,"15 min",Hourly,Pk,,,,,,,,,,,,,,,ISOLATES,,,,/relanes~,,,,,,,,,,,,,,,,
"DIRECTION: ",,NL,NT,NR,SL,ST,SR,EL,ET,ER,WL,WT,WR,TOTALS:,Volume,Volume,Hr,,,,,,,,,,,,,,,PEAK,,,,/rec15..n66~,,,,,,,,,,,,,,,,
"LANES: ",,0,0,0,0,0,0,0,2,0,1,2,0,,Totals,Totals,Starts,NL,NT,NR,SL,ST,SR,EL,ET,ER,WL,WT,WR,,TIME,HOUR,"max value for next hour","max possible value for the next hour",Coefficient,"{branch Regmac}","NB15 min volume","NB peak hour volume","NB coefficient ","NB coefficient chosen","SB15 min volume","SB peak hour volume","SB coefficient ","SB coefficient chosen","EB15 min volume","EB peak hour volume","EB coefficient ","EB coefficient chosen","WB15 min volume","WB peak hour volume","WB coefficient ","WB coefficient chosen"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:00:00,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06:15:00,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06:30:00,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
