Location:,"20th Street @ Franklin Street",,,,,,Weather:,"Sunny and Clear",,,
Date:,2012/09/19,,,,,,Counter:,"Metro Traffic Data Inc.",,,
,,,,,,,,,,,
,"Primary street:",,"20th Street",,,,"Primary street:",,"20th Street",,
,Approach:,,Eastbound,,WestLeg,,Approach:,,Westbound,,EastLeg
Time,"Right Turn","Left Turn",Through,"On buses",Peds,,"Right Turn","Left Turn",Through,"On buses",Peds
4:00-4:15pm,0,8,3,0,4,,0,0,0,0,11
4:15-4:30pm,0,3,1,0,10,,0,0,4,0,12
4:30-4:45pm,0,0,4,1,20,,0,0,0,1,15
4:45-5:00pm,1,2,2,1,40,,0,0,1,0,23
"4:00-5:00pm Total:",1,13,10,2,74,,0,0,5,1,61
5:00-5:15pm,0,0,1,0,81,,3,0,4,2,39
5:15-5:30pm,0,0,3,0,56,,2,0,2,0,10
5:30-5:45pm,0,1,8,0,33,,1,0,3,0,30
5:45-6:00pm,0,0,2,0,30,,2,0,2,0,29
"5:00-6:00pm Total:",0,1,14,0,200,,8,0,11,2,108
"4:00-6:00pm Total:",1,14,24,2,274,,8,0,16,3,169
,"Total # of Bicycles:",,39,,,,"Total # of Bicycles:",,24,,
,,,,,,,,,,,
,"Cross street:",,"Franklin Street",,,,"Cross street:",,"Franklin Street",,
,Approach:,,Northbound,,SouthLeg,,Approach:,,Southbound,,NorthLeg
Time,"Right Turn","Left Turn",Through,"On buses",Peds,,"Right Turn","Left Turn",Through,"On buses",Peds
4:00-4:15pm,0,4,0,0,31,,0,0,0,0,134
4:15-4:30pm,1,8,3,0,15,,0,0,0,0,125
4:30-4:45pm,0,0,1,0,15,,0,0,0,0,182
4:45-5:00pm,0,0,5,0,35,,0,3,1,0,203
"4:00-5:00pm Total:",1,12,9,0,96,,0,3,1,0,644
5:00-5:15pm,2,0,14,0,65,,0,0,0,0,314
5:15-5:30pm,2,0,10,0,39,,0,1,0,0,236
5:30-5:45pm,2,0,9,0,56,,0,1,0,0,242
5:45-6:00pm,0,0,8,0,31,,0,0,0,0,184
"5:00-6:00pm Total:",6,0,41,0,191,,0,2,0,0,976
"4:00-6:00pm Total:",7,12,50,0,287,,0,5,1,0,1620
,"Total # of Bicycles:",,69,,,,"Total # of Bicycles:",,6,,
,,,,,,,,,,,
"Totals (4:00pm - 6:00pm)",,,,,,,,,,,
"Total # of Bicycles:",,138,"[Include bicycles on sidewalks but not bicycles on buses.]",,,,,,,,
"Total # of Bikes on Buses:",,5,"[Count bicycles on the racks of buses.]",,,,,,,,
"Total # of Pedestrians",,2350,"[Count pedestrians by crossing leg for each intersection approach.]",,,,,,,,
"Total # of Bikes on Sidewalk:",,0,"[Subtotal of bicycles on sidewalks.]",,,,,,,,
,,,"[Bicyclists on sidewalks are also included in the turning movement counts.]",,,,,,,,
