Location:,"Fruitvale Avenue @ Foothill Blvd",,,,,,Weather:,"Sunny and Clear",,,
Date:,2012/09/19,,,,,,Counter:,"Metro Traffic Data Inc.",,,
,,,,,,,,,,,
,"Primary street:",,"Foothill Boulevard",,,,"Primary street:",,"Foothill Boulevard",,
,Approach:,,Eastbound,,WestLeg,,Approach:,,Westbound,,EastLeg
Time,"Right Turn","Left Turn",Through,"On buses",Peds,,"Right Turn","Left Turn",Through,"On buses",Peds
4:00-4:15pm,0,0,1,0,18,,0,0,2,0,20
4:15-4:30pm,0,0,1,0,19,,0,0,2,1,29
4:30-4:45pm,0,0,0,0,20,,0,0,0,0,19
4:45-5:00pm,0,0,1,0,12,,0,2,0,0,10
"4:00-5:00pm Total:",0,0,3,0,69,,0,2,4,1,78
5:00-5:15pm,0,0,1,1,23,,0,0,1,0,44
5:15-5:30pm,0,0,2,1,12,,0,0,1,0,16
5:30-5:45pm,0,0,4,0,9,,0,0,1,0,21
5:45-6:00pm,0,0,1,1,13,,0,0,0,0,31
"5:00-6:00pm Total:",0,0,8,3,57,,0,0,3,0,112
"4:00-6:00pm Total:",0,0,11,3,126,,0,2,7,1,190
,"Total # of Bicycles: ",,11,,,,"Total # of Bicycles: ",,9,,
,,,,,,,,,,,
,"Cross street:",,"Fruitvale Avenue",,,,"Cross street:",,"Fruitvale Avenue",,
,Approach:,,Northbound,,SouthLeg,,Approach:,,Southbound,,NorthLeg
Time,"Right Turn","Left Turn",Through,"On buses",Peds,,"Right Turn","Left Turn",Through,"On buses",Peds
4:00-4:15pm,0,0,2,0,24,,0,0,3,0,13
4:15-4:30pm,0,0,2,2,44,,0,0,1,0,22
4:30-4:45pm,0,0,3,0,24,,0,0,0,0,21
4:45-5:00pm,0,0,3,0,25,,0,0,1,0,14
"4:00-5:00pm Total:",0,0,10,2,117,,0,0,5,0,70
5:00-5:15pm,1,0,4,0,49,,0,0,1,0,32
5:15-5:30pm,0,0,3,1,23,,1,0,4,0,26
5:30-5:45pm,0,0,2,0,46,,0,0,1,0,36
5:45-6:00pm,0,0,2,0,38,,1,0,2,0,20
"5:00-6:00pm Total:",1,0,11,1,156,,2,0,8,0,114
"4:00-6:00pm Total:",1,0,21,3,273,,2,0,13,0,184
,"Total # of Bicycles: ",,22,,,,"Total # of Bicycles: ",,15,,
,,,,,,,,,,,
"Totals (4:00pm - 6:00pm)",,,,,,,,,,,
"Total # of Bicycles: ",,57,"[Include bicycles on sidewalks but not bicycles on buses.]",,,,,,,,
"Total # of Bikes on Buses:",,7,"[Count bicycles on the racks of buses.]",,,,,,,,
"Total # of Pedestrians",,773,"[Count pedestrians by crossing leg for each intersection approach.]",,,,,,,,
"Total # of Bikes on Sidewalk:",,20,"[Subtotal of bicycles on sidewalks.]",,,,,,,,
,,,"[Bicycles on sidewalks are also included in the turning movement counts.]",,,,,,,,
