Location:,"Broadway @ 27th Street",,,,,,Weather:,"Sunny and Clear",,,
Date:,2012/09/12,,,,,,Counter:,"Metro Traffic Data Inc.",,,
,,,,,,,,,,,
,"Primary street:",,"27th Street",,,,"Primary street:",,"27th Street",,
,Approach:,,Eastbound,,WestLeg,,Approach:,,Westbound,,EastLeg
Time,"Right Turn","Left Turn",Through,"On buses",Peds,,"Right Turn","Left Turn",Through,"On buses",Peds
4:00-4:15pm,0,0,4,0,10,,1,0,2,0,8
4:15-4:30pm,2,0,4,0,5,,5,2,5,0,6
4:30-4:45pm,2,0,6,0,14,,2,0,2,0,11
4:45-5:00pm,1,0,3,0,9,,4,1,0,0,8
"4:00-5:00pm Total:",5,0,17,0,38,,12,3,9,0,33
5:00-5:15pm,1,0,6,0,3,,2,0,7,0,11
5:15-5:30pm,1,0,3,0,9,,4,0,12,0,11
5:30-5:45pm,0,0,11,0,7,,1,2,2,0,18
5:45-6:00pm,1,1,7,0,4,,7,1,8,0,11
"5:00-6:00pm Total:",3,1,27,0,23,,14,3,29,0,51
"4:00-6:00pm Total:",8,1,44,0,61,,26,6,38,0,84
,"Total # of Bicyclists: ",,53,,,,"Total # of Bicyclists: ",,70,,
,,,,,,,,,,,
,"Cross street:",,Broadway,,,,"Cross street:",,Broadway,,
,Approach:,,Northbound,,SouthLeg,,Approach:,,Southbound,,NorthLeg
Time,"Right Turn","Left Turn",Through,"On buses",Peds,,"Right Turn","Left Turn",Through,"On buses",Peds
4:00-4:15pm,0,0,2,1,3,,1,1,6,0,3
4:15-4:30pm,0,0,6,0,2,,0,1,11,0,8
4:30-4:45pm,1,1,11,1,0,,0,2,9,0,2
4:45-5:00pm,0,0,9,0,2,,2,2,12,0,6
"4:00-5:00pm Total:",1,1,28,2,7,,3,6,38,0,19
5:00-5:15pm,0,0,24,0,1,,1,1,13,0,2
5:15-5:30pm,0,1,15,0,1,,0,1,15,0,6
5:30-5:45pm,0,2,16,0,2,,1,3,16,0,3
5:45-6:00pm,0,2,17,0,0,,0,3,5,0,1
"5:00-6:00pm Total:",0,5,72,0,4,,2,8,49,0,12
"4:00-6:00pm Total:",1,6,100,2,11,,5,14,87,0,31
,"Total # of Bicyclists: ",,107,,,,"Total # of Bicyclists: ",,106,,
,,,,,,,,,,,
"Totals (4:00pm - 6:00pm)",,,,,,,,,,,
"Total # of Bicyclists: ",,336,"[Include bicyclists on sidewalks but not bicycles on buses.]",,,,,,,,
"Total # of Bikes on Buses:",,2,"[Count bicycles on the racks of buses.]",,,,,,,,
"Total # of Pedestrians",,187,"[Count pedestrians by crossing leg for each intersection approach.]",,,,,,,,
"Total # of Bikes on Sidewalk:",,8,"[Subtotal of bicyclists on sidewalks.]",,,,,,,,
,,,"[Bicyclists on sidewalks are also included in the turning movement counts.]",,,,,,,,
