Location:,"Foothill Boulevard @ 38th Avenue",,,,,,Weather:,"Sunny and Clear",,,
Date:,2012/09/13,,,,,,Counter:,"Metro Traffic Data Inc.",,,
,,,,,,,,,,,
,"Primary street:",,"Foothill Boulevard",,,,"Primary street:",,"Foothill Boulevard",,
,Approach:,,Eastbound,,WestLeg,,Approach:,,Westbound,,EastLeg
Time,"Right Turn","Left Turn",Through,"On buses",Peds,,"Right Turn","Left Turn",Through,"On buses",Peds
4:00-4:15pm,1,0,2,0,7,,0,0,3,0,2
4:15-4:30pm,3,1,0,0,3,,1,0,0,0,18
4:30-4:45pm,1,0,3,1,3,,0,0,5,0,29
4:45-5:00pm,1,1,2,1,5,,0,0,1,0,14
"4:00-5:00pm Total:",6,2,7,2,18,,1,0,9,0,63
5:00-5:15pm,1,0,2,1,7,,0,0,4,0,9
5:15-5:30pm,1,0,1,0,11,,0,0,2,0,1
5:30-5:45pm,0,1,3,1,9,,0,0,0,0,12
5:45-6:00pm,1,0,2,0,8,,1,0,2,0,8
"5:00-6:00pm Total:",3,1,8,2,35,,1,0,8,0,30
"4:00-6:00pm Total:",9,3,15,4,53,,2,0,17,0,93
,"Total # of Bicyclists: ",,27,,,,"Total # of Bicyclists: ",,19,,
,,,,,,,,,,,
,"Cross street:",,"38th Avenue",,,,"Cross street:",,"38th Avenue",,
,Approach:,,Northbound,,SouthLeg,,Approach:,,Southbound,,NorthLeg
Time,"Right Turn","Left Turn",Through,"On buses",Peds,,"Right Turn","Left Turn",Through,"On buses",Peds
4:00-4:15pm,2,0,0,0,18,,0,1,1,0,3
4:15-4:30pm,0,0,1,0,14,,0,0,0,0,9
4:30-4:45pm,0,2,1,0,28,,0,0,1,0,10
4:45-5:00pm,0,0,1,0,10,,0,0,0,0,5
"4:00-5:00pm Total:",2,2,3,0,70,,0,1,2,0,27
5:00-5:15pm,0,0,1,0,26,,0,0,0,0,11
5:15-5:30pm,0,0,0,0,32,,0,0,0,0,15
5:30-5:45pm,0,1,1,0,20,,0,0,1,0,8
5:45-6:00pm,0,0,0,0,23,,0,0,0,0,9
"5:00-6:00pm Total:",0,1,2,0,101,,0,0,1,0,43
"4:00-6:00pm Total:",2,3,5,0,171,,0,1,3,0,70
,"Total # of Bicyclists: ",,10,,,,"Total # of Bicyclists: ",,4,,
,,,,,,,,,,,
"Totals (4:00pm - 6:00pm)",,,,,,,,,,,
"Total # of Bicyclists: ",,60,"[Include bicyclists on sidewalks but not bicycles on buses.]",,,,,,,,
"Total # of Bikes on Buses:",,4,"[Count bicycles on the racks of buses.]",,,,,,,,
"Total # of Pedestrians",,387,"[Count pedestrians by crossing leg for each intersection approach.]",,,,,,,,
"Total # of Bikes on Sidewalk:",,10,"[Subtotal of bicyclists on sidewalks.]",,,,,,,,
,,,"[Bicyclists on sidewalks are also included in the turning movement counts.]",,,,,,,,
