"PREPARED BY NATIONAL DATA & SURVEYING SERVICES",,,,,,,,,,,,AM,"Start time:",NONE,NONE,,,
PROJECT#:,10-7088-005,,,,,,,,,,,,"End time:",NONE,NONE,,,
"N/S Street:","College Ave",,,,,,,,,,,NOON,"Start time:",NONE,NONE,2009/01/01,,
"E/W Street:","Alcatraz Ave",,,,,,,,,,,,"End time:",NONE,NONE,2012/01/02,,
DATE:,2010/03/13,,,,,DAY:,2010/03/13,,,,,PM,"Start time:",16:00:00,667,,,
CITY:,Oakland,,,,,,,,,,,,"End time:",19:00:00,792,,,
"A M",,,,,,,,,,,,,,,,,,
PEDESTRIANS,,,,,,BIKES,,,,,,,,,,,,
"T I M E","NORTH LEG","SOUTH LEG","EAST LEG","WEST LEG",,"T I M E","NORTH LEG","SOUTH LEG","EAST LEG","WEST LEG",,,,,,,,
09:00:00,,,,,,09:00:00,,,,,,,375,,,,,
09:15:00,,,,,,09:15:00,,,,,,,385,,,,,
09:30:00,,,,,,09:30:00,,,,,,,396,,,,,
09:45:00,,,,,,09:45:00,,,,,,,406,,,,,
10:00:00,,,,,,10:00:00,,,,,,,417,,,,,
10:15:00,,,,,,10:15:00,,,,,,,427,,,,,
10:30:00,,,,,,10:30:00,,,,,,,438,,,,,
10:45:00,,,,,,10:45:00,,,,,,,448,,,,,
11:00:00,,,,,,11:00:00,,,,,,,458,,,,,
11:15:00,,,,,,11:15:00,,,,,,,469,,,,,
11:30:00,,,,,,11:30:00,,,,,,,479,,,,,
11:45:00,,,,,,11:45:00,,,,,,,490,,,,,
12:00:00,,,,,,12:00:00,,,,,,,500,,,,,
12:15:00,,,,,,12:15:00,,,,,,,510,,,,,
12:30:00,,,,,,12:30:00,,,,,,,521,,,,,
12:45:00,,,,,,12:45:00,,,,,,,531,,,,,
13:00:00,,,,,,13:00:00,,,,,,,542,,,,,
13:15:00,,,,,,13:15:00,,,,,,,552,,,,,
13:30:00,,,,,,13:30:00,,,,,,,563,,,,,
13:45:00,,,,,,13:45:00,,,,,,,573,,,,,
14:00:00,,,,,,14:00:00,,,,,,,583,,,,,
14:15:00,,,,,,14:15:00,,,,,,,594,,,,,
14:30:00,,,,,,14:30:00,,,,,,,604,,,,,
14:45:00,,,,,,14:45:00,,,,,,,615,,,,,
15:00:00,,,,,,15:00:00,,,,,,,625,,,,,
15:15:00,,,,,,15:15:00,,,,,,,635,,,,,
15:30:00,,,,,,15:30:00,,,,,,,646,,,,,
15:45:00,,,,,,15:45:00,,,,,,,656,,,,,
16:00:00,15,20,42,39,,16:00:00,6,0,7,4,,,667,,,,,
16:15:00,38,14,35,47,,16:15:00,2,1,4,3,,,677,,,,,
16:30:00,9,11,43,45,,16:30:00,0,0,0,3,,,688,,,,,
16:45:00,25,6,34,52,,16:45:00,1,0,1,4,,,698,,,,,
17:00:00,13,8,33,69,,17:00:00,3,0,0,4,,,708,,,,,
17:15:00,16,16,24,55,,17:15:00,1,1,2,2,,,719,,,,,
