"File Name:",,"C:\Petra Pro\Oakland\FP\broadway-college-a.ppd",,,,,,,,,,,,,,
"Start Date:",,11/16/2010,,,,,,,,,,,,,,
"Start Time:",,"7:00:00 AM",,,,,,,,,,,,,,
"Site Code:",,2,,,,,,,,,,,,,,
"Comment 1:",,"CITY OF OAKLAND",,,,,,,,,,,,,,
"Comment 2:",,,,,,,,,,,,,,,,
"Comment 3:",,,,,,,,,,,,,,,,
"Comment 4:",,fp,,,,,,,,,,,,,,
,"BROADWAY
Southbound",,,,"0
Westbound",,,,"BROADWAY                
Northbound",,,,"COLLEGE AV
Eastbound",,,
"Start Time",RT,TH,LT,Ped,RT,TH,LT,Ped,RT,TH,LT,Ped,RT,TH,LT,Ped
07:00,0,0,0,14,0,0,0,0,0,1,2,0,0,0,0,11
07:15,0,1,0,13,0,0,0,0,0,0,1,0,1,0,0,7
07:30,0,3,0,22,0,0,0,0,0,5,2,0,4,0,1,5
07:45,0,1,0,48,0,0,0,0,0,1,5,0,2,0,0,18
08:00,1,0,0,62,0,0,0,0,0,3,5,0,1,0,0,16
08:15,1,1,0,18,0,0,0,0,0,3,7,0,1,0,0,15
08:30,0,1,0,37,0,0,0,0,0,1,3,0,1,0,0,9
08:45,1,0,0,36,0,0,0,0,0,1,8,0,0,0,0,13
