,"Northbound: San Pablo Avenue",,,,,,,"Southbound: San Pablo Avenue",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
11:30-12:00,,,,,,,,1,1,2,,,
12:00-12:30,,,,,,,,,,,,,
"11:30-12:30pm Total:",,,,,,,,1,1,2,,,
12:30-1:00,,,1,4,,,,,,3,2,,
1:00-1:30,,,,,,,,,,1,,,
"12:30-1:30pm Total:",,,1,4,,,,,,4,2,,
"11:30-1:30 pm Total:",,,1,4,,,,1,1,6,2,,
"Total # of Bikes NB: ",,5,,,,,,"Total # of Bikes SB: ",,,10,,
,,,,,,,,,,,,,
,"Eastbound: 66th Street",,,,,,,"Westbound: 66th Street",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
11:30-12:00,,1,,,,,,,,,,,
12:00-12:30,,1,1,,,,,,,,,,
"11:30-12:30pm Total:",,2,1,,,,,,,,,,
12:30-1:00,,1,,,,,,,,,,,
1:00-1:30,,1,,,,,,,,,,,
"12:30-1:30pm Total:",,2,,,,,,,,,,,
"11:30-1:30 pm Total:",,4,1,,,,,,,,,,
"Total # of Bikes EB: ",,5,,,,,,"Total # of Bikes WB: ",,,,,
,,,,,,,,,,,,,
,,,"Total # of Bikes Counted (11:30-1:30pm): ",,,,,,20,,,,
,,,,,,,,,,,,,
"Field Observations:",,,,,,,,,,,,,
