Location:,"Telegraph Avenue @ William Street",,,,,,Weather:,"Sunny and Clear",,,
Date:,2014/06/05,,,,,,Counter:,"Metro Traffic Data Inc.",,,
,,,,,,,,,,,
,Street,,"William Street",,,,Street,,"William Street",,
,Approach:,,Eastbound,,WestLeg,,Approach:,,Westbound,,EastLeg
Time,"Right Turn","Left Turn",Through,"On buses",Peds,,"Right Turn","Left Turn",Through,"On buses",Peds
4:00-4:15pm,0,0,0,0,24,,0,0,0,0,0
4:15-4:30pm,0,0,0,0,7,,0,0,0,0,0
4:30-4:45pm,0,1,0,0,15,,0,0,0,0,0
4:45-5:00pm,0,0,0,0,13,,0,0,0,0,0
"4:00-5:00pm Total:",0,1,0,0,59,,0,0,0,0,0
5:00-5:15pm,0,0,0,0,22,,0,0,0,0,0
5:15-5:30pm,0,0,0,0,24,,0,0,0,0,0
5:30-5:45pm,0,0,0,0,13,,0,0,0,0,0
5:45-6:00pm,0,0,0,0,13,,0,0,0,0,0
"5:00-6:00pm Total:",0,0,0,0,72,,0,0,0,0,0
"4:00-6:00pm Total:",0,1,0,0,131,,0,0,0,0,0
,"Total # of Bicyclists: ",,1,,,,"Total # of Bicyclists: ",,0,,
,,,,,,,,,,,
,Street,,"Telegraph Avenue",,,,Street,,"Telegraph Avenue",,
,Approach:,,Northbound,,SouthLeg,,Approach:,,Southbound,,NorthLeg
Time,"Right Turn","Left Turn",Through,"On buses",Peds,,"Right Turn","Left Turn",Through,"On buses",Peds
4:00-4:15pm,0,0,3,0,8,,0,0,9,0,12
4:15-4:30pm,0,0,11,0,14,,0,0,4,0,9
4:30-4:45pm,0,0,3,0,8,,1,0,10,0,9
4:45-5:00pm,0,1,3,0,7,,0,0,8,0,12
"4:00-5:00pm Total:",0,1,20,0,37,,1,0,31,0,42
5:00-5:15pm,0,1,11,0,6,,0,0,6,0,5
5:15-5:30pm,0,0,13,0,12,,1,0,1,0,13
5:30-5:45pm,0,0,15,0,3,,0,0,8,0,15
5:45-6:00pm,0,0,11,0,16,,1,0,6,0,12
"5:00-6:00pm Total:",0,1,50,0,37,,2,0,21,0,45
"4:00-6:00pm Total:",0,2,70,0,74,,3,0,52,0,87
,"Total # of Bicyclists: ",,72,,,,"Total # of Bicyclists: ",,55,,
,,,,,,,,,,,
"Totals (4:00pm - 6:00pm)",,,,,,,,,,,
"Total # of Bicyclists: ",,128,"[Include bicyclists on sidewalks but not bicycles on buses.]",,,,,,,,
"Total # of Bikes on Buses:",,0,"[Count bicycles on the racks of buses.]",,,,,,,,
"Total # of Pedestrians",,292,"[Count pedestrians by crossing leg for each intersection approach.]",,,,,,,,
"Total # of Bikes on Sidewalk:",,16,"[Subtotal of bicyclists on sidewalks.]",,,,,,,,
,,,"[Bicyclists on sidewalks are also included in the turning movement counts.]",,,,,,,,
