,"Foothill toward Coolidge NB",,,,,,,"Foothill SB",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
11:30-12:00,,,2,1,,,,,,1,,,
12:00-12:30,,,2,3,,,,,1,4,2,,
"11:30-12:30pm Totals:",,,4,4,,,,,1,5,2,,
12:30-1:00,,,1,3,,,,,,5,2,,
1:00-1:30,,,1,1,,,,2,,1,2,,
"12:30-1:30pm Totals",,,2,4,,,,2,,6,4,,
"11:30-1:30 pm Totals",,,6,8,,,,2,1,11,6,,
"Total # of Bikes NB: ",,14,,,,,,"Total # of Bikes SB: ",,,20,,
,,,,,,,,,,,,,
,"34th Ave Eastbound",,,,,,,"34th Ave Westbound",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
11:30-12:00,,,,,,,,,,,,,
12:00-12:30,1,1,,,,,,1,,,1,,
"11:30-12:30pm Totals:",1,1,,,,,,1,,,1,,
12:30-1:00,,,,,,,,,,,1,,
1:00-1:30,,,,,,,,1,,,,,
"12:30-1:30pm Totals",,,,,,,,1,,,1,,
"11:30-1:30 pm Totals",1,1,,,,,,2,,,2,,
"Total # of Bikes EB: ",,2,,,,,,"Total # of Bikes WB: ",,,4,,
,,,,,,,,,,,,,
,,,"Total # of Bikes Counted (11:30-1:30 pm): ",,,,,,40,,,,
