Location:,"MacArthur Boulevard @ Fruitvale Avenue",,,,,,Weather:,"Sunny and Clear",,,
Date:,2012/09/13,,,,,,Counter:,"Metro Traffic Data Inc.",,,
,,,,,,,,,,,
,"Primary street:",,"MacArthur Boulevard",,,,"Primary street:",,"MacArthur Boulevard",,
,Approach:,,Eastbound,,WestLeg,,Approach:,,Westbound,,EastLeg
Time,"Right Turn","Left Turn",Through,"On buses",Peds,,"Right Turn","Left Turn",Through,"On buses",Peds
4:00-4:15pm,0,0,2,1,25,,0,0,1,1,29
4:15-4:30pm,0,0,0,2,27,,0,1,0,0,49
4:30-4:45pm,0,0,1,0,24,,0,0,0,0,35
4:45-5:00pm,0,0,0,1,34,,0,0,2,0,50
"4:00-5:00pm Total:",0,0,3,4,110,,0,1,3,1,163
5:00-5:15pm,0,0,2,0,46,,0,0,1,0,48
5:15-5:30pm,0,0,0,0,38,,0,0,0,0,44
5:30-5:45pm,0,0,0,0,33,,0,0,1,0,28
5:45-6:00pm,0,0,2,0,27,,0,0,2,0,33
"5:00-6:00pm Total:",0,0,4,0,144,,0,0,4,0,153
"4:00-6:00pm Total:",0,0,7,4,254,,0,1,7,1,316
,"Total # of Bicyclists: ",,7,,,,"Total # of Bicyclists: ",,8,,
,,,,,,,,,,,
,"Cross street:",,"Fruitvale Avenue",,,,"Cross street:",,"Fruitvale Avenue",,
,Approach:,,Northbound,,SouthLeg,,Approach:,,Southbound,,NorthLeg
Time,"Right Turn","Left Turn",Through,"On buses",Peds,,"Right Turn","Left Turn",Through,"On buses",Peds
4:00-4:15pm,0,0,1,0,28,,1,0,1,0,25
4:15-4:30pm,0,1,3,2,34,,0,0,0,0,27
4:30-4:45pm,0,0,0,0,27,,0,0,0,0,21
4:45-5:00pm,1,0,1,0,21,,0,0,0,0,16
"4:00-5:00pm Total:",1,1,5,2,110,,1,0,1,0,89
5:00-5:15pm,0,0,1,1,27,,0,0,1,0,32
5:15-5:30pm,0,0,0,0,25,,0,0,0,0,33
5:30-5:45pm,2,0,2,0,27,,0,0,0,0,26
5:45-6:00pm,1,0,1,0,31,,0,0,0,0,32
"5:00-6:00pm Total:",3,0,4,1,110,,0,0,1,0,123
"4:00-6:00pm Total:",4,1,9,3,220,,1,0,2,0,212
,"Total # of Bicyclists: ",,14,,,,"Total # of Bicyclists: ",,3,,
,,,,,,,,,,,
"Totals (4:00pm - 6:00pm)",,,,,,,,,,,
"Total # of Bicyclists: ",,32,"[Include bicyclists on sidewalks but not bicycles on buses.]",,,,,,,,
"Total # of Bikes on Buses:",,8,"[Count bicycles on the racks of buses.]",,,,,,,,
"Total # of Pedestrians",,1002,"[Count pedestrians by crossing leg for each intersection approach.]",,,,,,,,
"Total # of Bikes on Sidewalk:",,1,"[Subtotal of bicyclists on sidewalks.]",,,,,,,,
,,,"[Bicyclists on sidewalks are also included in the turning movement counts.]",,,,,,,,
