Location:,"20th Street @ Webster Street",,,,,,Weather:,"Sunny and Clear",,,
Date:,2011/05/04,,,,,,Counter:,"Metro Traffic Data Inc.",,,
,,,,,,,,,,,
,"Primary street:",,"20th Street",,,,"Primary street:",,"20th Street",,
,Approach:,,Eastbound,,WestLeg,,Approach:,,Westbound,,EastLeg
Time,"Right Turn","Left Turn",Through,"On buses",Peds,,"Right Turn","Left Turn",Through,"On buses",Peds
7:00-7:15am,0,0,0,0,12,,1,2,1,0,21
7:15-7:30am,0,0,0,1,13,,0,1,2,0,23
7:30-7:45am,0,0,2,1,14,,0,4,5,0,33
7:45-8:00am,1,0,0,0,17,,0,3,1,0,42
"7:00-8:00am Total:",1,0,2,2,56,,1,10,9,0,119
8:00-8:15am,0,0,0,0,20,,0,1,4,0,52
8:15-8:30am,0,0,0,0,12,,0,0,4,1,57
8:30-8:45am,0,1,0,0,22,,0,0,7,0,66
8:45-9:00am,1,0,2,0,12,,0,4,4,0,57
"8:00-9:00am Total:",1,1,2,0,66,,0,5,19,1,232
"7:00-9:00am Total:",2,1,4,2,122,,1,15,28,1,351
,"Total # of Bicyclists: ",,7,,,,"Total # of Bicyclists: ",,44,,
,,,,,,,,,,,
,"Cross street:",,"Webster Street",,,,"Cross street:",,"Webster Street",,
,Approach:,,Northbound,,SouthLeg,,Approach:,,Southbound,,NorthLeg
Time,"Right Turn","Left Turn",Through,"On buses",Peds,,"Right Turn","Left Turn",Through,"On buses",Peds
7:00-7:15am,0,0,0,0,20,,0,0,5,0,84
7:15-7:30am,0,0,1,0,30,,4,0,8,0,113
7:30-7:45am,0,0,0,0,22,,0,0,6,0,135
7:45-8:00am,0,0,0,0,41,,1,0,4,0,153
"7:00-8:00am Total:",0,0,1,0,113,,5,0,23,0,485
8:00-8:15am,0,0,0,0,58,,3,0,4,0,186
8:15-8:30am,0,0,0,0,58,,0,0,14,0,203
8:30-8:45am,0,0,0,0,49,,3,1,11,0,187
8:45-9:00am,0,0,0,0,34,,4,0,13,0,218
"8:00-9:00am Total:",0,0,0,0,199,,10,1,42,0,794
"7:00-9:00am Total:",0,0,1,0,312,,15,1,65,0,1279
,"Total # of Bicyclists: ",,1,,,,"Total # of Bicyclists: ",,81,,
,,,,,,,,,,,
"Totals (7:00am - 9:00am)",,,,,,,,,,,
"Total # of Bicyclists: ",,133,"[Include bicyclists on sidewalks but not bicycles on buses.]",,,,,,,,
"Total # of Bikes on Buses:",,3,"[Count bicycles on the racks of buses.]",,,,,,,,
"Total # of Pedestrians",,2064,"[Count pedestrians by crossing leg for each intersection approach.]",,,,,,,,
"Total # of Bikes on Sidewalk:",,5,"[Subtotal of bicyclists on sidewalks.]",,,,,,,,
,,,"[Bicyclists on sidewalks are also included in the turning movement counts.]",,,,,,,,
